Population,PlantID,C1Date,C1Height,C1_open_flwrs,C1_buds,C1_notes,C2Date,C2_open_flwrs,C2_buds,C2_notes,FCDate,FC_swollenfrt,FC_undev,FC_halfway,Fate_MT,Fate_Herb,Fate_Hum,Fate_intact
Ullen,2179,7/1/2023,60,11,0,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2186,7/1/2023,48,8,4,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2101,7/1/2023,47,0,8,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2180,7/1/2023,52,0,10,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2706,7/1/2023,50,0,8,.,.,.,.,.,.,.,.,.,.,.,.,.
Ullen,2406,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,7,1,0,0,0,0,1
Ullen,2762,.,.,.,.,.,7/12/2023,5,0,.,.,.,.,.,.,.,.,.
Ullen,2404,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2153,.,.,.,.,.,7/12/2023,14,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2235,.,.,.,.,.,7/12/2023,8,0,.,10/13/2023,.,.,.,0,1,0,0
Ullen,2173,.,.,.,.,.,7/12/2023,5,5,.,.,.,.,.,.,.,.,.
Ullen,2734,.,.,.,.,.,7/12/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2111,7/7/2023,55,6,0,.,7/11/2023,6,0,.,10/13/2023,1,5,0,0,0,0,1
Burnham,2116,7/7/2023,71,14,0,.,7/11/2023,15,0,.,10/13/2023,14,1,0,0,0,0,1
Burnham,2117,7/7/2023,40,6,0,.,7/11/2023,.,.,.,10/13/2023,0,6,0,0,0,0,1
Burnham,2118,7/7/2023,53,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2121,7/7/2023,53,5,0,.,7/11/2023,6,0,.,10/13/2023,0,6,0,0,0,0,1
Burnham,2126,7/7/2023,53,8,0,.,7/11/2023,8,0,.,10/13/2023,0,8,0,0,0,0,1
Burnham,2133,7/7/2023,60,8,0,.,7/11/2023,.,.,.,10/13/2023,2,6,0,0,0.5,0,0.5
Burnham,2138,7/7/2023,63,6,0,"nodes 2,3,5 bitten off",7/11/2023,6,0,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2142,7/7/2023,51,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2157,7/7/2023,68,10,0,.,7/11/2023,10,0,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2167,7/7/2023,61,12,1,.,7/11/2023,13,0,.,10/13/2023,3,10,0,0,0,0,1
Burnham,2169,7/7/2023,61,8,0,.,7/11/2023,8,0,.,10/13/2023,0,8,0,0,0,0,1
Burnham,2170,7/7/2023,50,7,0,.,7/11/2023,8,0,.,10/13/2023,1,6,0,0,0,0,1
Burnham,2171,7/7/2023,48,5,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2176,7/7/2023,47,6,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2201,7/7/2023,58,15,0,.,7/11/2023,16,0,.,10/13/2023,6,9,1,0,0,0,1
Burnham,2202,7/7/2023,50,3,0,.,7/11/2023,3,0,.,10/13/2023,.,.,.,1,0,0,0
Burnham,2203,7/7/2023,54,4,0,.,7/11/2023,4,0,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2204,7/7/2023,71,15,0,.,7/11/2023,14,0,.,10/13/2023,2,13,0,0,0,0,1
Burnham,2205,7/7/2023,64,12,0,.,7/11/2023,.,.,.,10/13/2023,0,3,0,0,0.5,0,0.5
Burnham,2236,7/7/2023,57,9,0,.,7/11/2023,9,0,.,10/13/2023,2,7,0,0,0,0,1
Burnham,2266,7/7/2023,47,5,0,.,7/11/2023,.,.,.,10/13/2023,.,.,.,0,1,0,0
Burnham,2408,7/7/2023,44,8,0,.,7/11/2023,.,.,.,10/13/2023,2,6,0,0,0,0,1
Burnham,2411,7/7/2023,40,3,0,.,7/11/2023,3,0,.,10/13/2023,0,3,0,0,0,0,1
Burnham,2414,7/7/2023,52,10,0,.,7/11/2023,.,.,.,10/13/2023,4,6,0,0,0,0,1
Burnham,2418,7/7/2023,40,8,0,.,7/11/2023,.,.,.,10/13/2023,1,7,1,0,0,0,1
Burnham,2714,7/7/2023,50,5,0,.,7/11/2023,.,.,.,10/13/2023,2,3,0,0,0,0,1
Burnham,2717,7/7/2023,62,7,0,.,7/11/2023,.,.,.,10/13/2023,2,5,0,0,0,0,1
Burnham,2718,7/7/2023,66,10,0,.,7/11/2023,.,.,.,10/13/2023,1,9,0,0,0,0,1
Burnham,2730,7/7/2023,54,14,0,.,7/11/2023,15,0,.,10/13/2023,6,9,0,0,0,0,1
Burnham,2731,7/7/2023,45,5,0,.,7/11/2023,5,0,.,10/13/2023,0,5,0,0,0,0,1
Burnham,2778,7/7/2023,47,7,0,.,7/11/2023,.,.,.,10/13/2023,5,2,0,0,0,0,1
Burnham,2719,.,.,.,.,.,7/11/2023,8,0,.,10/13/2023,2,6,0,0,0,0,1
Burnham,2139,.,.,.,.,.,7/11/2023,9,0,.,.,.,.,.,.,.,.,.
Burnham,2155,.,.,.,.,.,7/11/2023,8,0,.,.,.,.,.,.,.,.,.
Burnham,2715,.,.,.,.,.,7/11/2023,6,0,.,.,.,.,.,.,.,.,.
Burnham,2403,.,.,.,.,.,7/11/2023,10,0,.,.,.,.,.,.,.,.,.
Burnham,2777,.,.,.,.,.,7/11/2023,9,0,.,.,.,.,.,.,.,.,.
Burnham,2131,.,.,.,.,.,7/11/2023,7,0,.,.,.,.,.,.,.,.,.
Burnham,2146,.,.,.,.,.,7/11/2023,6,0,.,.,.,.,.,.,.,.,.
Burnham,2600,.,.,.,.,.,7/11/2023,7,0,.,.,.,.,.,.,.,.,.
Burnham,2172,.,.,.,.,.,7/11/2023,13,0,.,.,.,.,.,.,.,.,.
Burnham,2729,.,.,.,.,.,7/11/2023,8,0,.,.,.,.,.,.,.,.,.
Foxboro,2711,7/1/2023,39,13,0,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2707,7/1/2023,50,13,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2710,7/1/2023,47,6,1,"3 eaten: nodes 3,4,7",.,.,.,.,10/13/2023,.,.,.,1,0,0,0
Foxboro,2709,7/1/2023,25,4,5,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2704,7/1/2023,44,15,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2181,7/1/2023,45,11,0,.,.,.,.,.,10/13/2023,0,11,0,0,0,0,1
Foxboro,2187,7/1/2023,42,2,0,2: nodes 2 and 6 had blooms; 8 others eaten,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2708,7/1/2023,45,17,4,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2705,7/1/2023,35,13,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2188,7/1/2023,34,7,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2189,7/1/2023,27,5,0,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
Foxboro,2712,7/1/2023,37,6,1,.,.,.,.,.,10/13/2023,.,.,.,0,1,0,0
South Brown,2702,7/5/2023,40,5,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2703,7/5/2023,60,20,0,two stems,7/9/2023,.,.,.,10/17/2023,2,18,0,0,0,0,1
South Brown,2703,7/5/2023,48,8,0,.,7/9/2023,.,.,.,10/17/2023,0,0,0,0,0,0,1
South Brown,2206,7/5/2023,48,9,1,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,0,0,1,0
South Brown,2207,7/5/2023,60,8,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2208,7/5/2023,63,11,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2210,7/5/2023,62,12,0,.,7/9/2023,11,0,.,10/17/2023,.,.,.,0,1,0,0
South Brown,2211,7/5/2023,54,6,2,.,7/9/2023,8,0,.,10/17/2023,.,.,.,0,1,0,0
South Brown,2212,7/5/2023,42,8,1,.,7/9/2023,.,.,bitten off near base,10/17/2023,0,0,0,1,0,0,0
South Brown,2213,7/5/2023,60,9,12,.,7/9/2023,19,4,.,10/17/2023,0,0,0,1,0,0,0
South Brown,2214,7/5/2023,45,9,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,0,0,0,1,0,0,0
South Brown,2215,7/5/2023,48,5,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,0,1,0,0
South Brown,2216,7/5/2023,45,9,6,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,0,1,0,0
South Brown,2217,7/5/2023,54,1,8,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2218,7/5/2023,53,1,0,bitten off above node 1,7/9/2023,1,0,.,10/17/2023,.,.,.,0,1,0,0
South Brown,2219,7/5/2023,56,8,5,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2220,7/5/2023,42,3,7,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2221,7/5/2023,50,6,2,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,1,0,0,0
South Brown,2222,7/5/2023,60,11,2,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,0,0,1,0
South Brown,2223,7/5/2023,60,14,0,.,7/9/2023,.,.,bitten off near base,10/17/2023,.,.,.,0,1,0,0
South Brown,2224,7/5/2023,53,1,5,.,7/9/2023,6,0,.,10/17/2023,.,.,.,1,0,0,0
South Brown,2225,7/5/2023,44,4,4,.,7/9/2023,7,1,.,10/17/2023,.,.,.,0,0,1,0
South Brown,2226,7/5/2023,31,0,3,.,7/9/2023,.,.,.,10/17/2023,.,.,.,0,0,1,0
South Brown,2227,7/5/2023,44,0,9,.,7/9/2023,3,6,.,10/17/2023,.,.,.,1,0,0,0
South Brown,2228,7/5/2023,26,0,7,.,7/9/2023,3,4,.,10/17/2023,.,.,.,1,0,0,0
South Brown,2229,7/5/2023,51,8,2,.,7/9/2023,10,0,.,10/17/2023,.,.,.,1,0,0,0
South Brown,2230,7/5/2023,39,3,3,.,7/9/2023,5,0,.,10/17/2023,1,5,0,0,0,0,1
South Brown,2231,7/5/2023,52,9,1,.,7/9/2023,10,0,.,10/17/2023,2,10,0,0,0,0,1
South Brown,2232,7/5/2023,49,12,1,.,7/9/2023,12,0,.,10/17/2023,.,.,.,0,1,0,0
South Brown,2233,7/5/2023,41,3,5,.,7/9/2023,.,.,.,10/17/2023,.,.,.,0,1,0,0
South Brown,2234,7/5/2023,45,0,10,.,7/9/2023,7,3,.,10/17/2023,.,.,.,0,1,0,0
South Brown,PP1,.,.,.,.,.,7/9/2023,4,3,.,10/17/2023,.,.,.,1,0,0,0
South Brown,PP2,.,.,.,.,.,7/9/2023,6,0,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2162,7/10/2023,.,2,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2735,7/10/2023,.,2,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
North Brown,2402,7/10/2023,.,2,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2102,7/10/2023,.,3,8,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2238,7/10/2023,.,3,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2164,7/10/2023,.,4,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
North Brown,PP1,7/9/2023,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,PP2,7/9/2023,.,10,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,PP3,7/9/2023,.,15,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
North Brown,PP4,7/9/2023,.,5,0,cattails and swamp milkweed growing around ,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2779,10-Jul-23,.,5,5,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2407,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2125,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2123,10-Jul-23,.,5,9,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2112,10-Jul-23,.,6,1,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2239,10-Jul-23,.,7,4,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2115,10-Jul-23,.,8,1,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2416,10-Jul-23,.,9,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2140,10-Jul-23,.,9,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2124,10-Jul-23,.,10,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2770,10-Jul-23,.,11,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2158,10-Jul-23,.,11,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2152,10-Jul-23,.,11,1,.,.,.,.,.,10/17/2023,3,9,0,0,0,0,1
North Brown,2412,10-Jul-23,.,12,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
North Brown,2137,10-Jul-23,.,12,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,1,0
North Brown,2160,10-Jul-23,.,14,0,.,.,.,.,.,10/17/2023,0,14,0,0,0,0,1
Aannex,2415,10-Jul-23,.,2,7,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2720,10-Jul-23,.,3,4,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2723,10-Jul-23,.,4,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2721,10-Jul-23,.,4,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2150,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2151,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
Aannex,2134,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
Aannex,2401,10-Jul-23,.,6,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2409,10-Jul-23,.,6,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2107,10-Jul-23,.,6,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2174,10-Jul-23,.,7,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
Aannex,2119,10-Jul-23,.,8,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2763,10-Jul-23,.,8,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2129,10-Jul-23,.,8,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2110,10-Jul-23,.,9,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
Aannex,2725,10-Jul-23,.,9,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2122,10-Jul-23,.,10,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2113,10-Jul-23,.,11,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2154,10-Jul-23,.,11,0,.,.,.,.,.,10/17/2023,.,.,.,0,0,0,0
Aannex,2147,10-Jul-23,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2732,10-Jul-23,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2132,10-Jul-23,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2127,10-Jul-23,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2733,10-Jul-23,.,13,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2727,10-Jul-23,.,14,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2144,10-Jul-23,.,14,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2781,10-Jul-23,.,18,0,.,.,.,.,.,10/17/2023,.,.,.,0,1,0,0
Aannex,2420,10-Jul-23,.,5,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
Aannex,2726,10-Jul-23,.,6,0,.,.,.,.,.,10/17/2023,.,.,.,1,0,0,0
